filename,width,height,class,xmin,ymin,xmax,ymax
0_wood_6678.jpg,284,177,complete,98,9,193,175
1_wood_5158.jpg,1920,1080,incomplete,370,131,1224,1073
0_concrete_3433.jpg,290,174,complete,62,15,184,144
1_metal_4056.jpg,1280,720,incomplete,280,126,971,600
0_concrete_2898.jpg,1680,1050,complete,504,70,1218,1049
1_factory_742.jpg,2448,2448,incomplete,391,97,2220,2252
1_metal_3883.jpg,300,168,incomplete,72,6,242,167
0_concrete_2435.jpg,300,168,complete,86,0,219,166
0_factory_1015.jpg,2448,2448,complete,390,419,2243,2069
0_wood_6535.jpg,1920,1080,complete,541,0,1293,1080
1_wood_4939.jpg,276,183,incomplete,64,15,217,165
0_metal_5528.jpg,512,287,complete,197,48,387,268
1_concrete_2302.jpg,1246,765,incomplete,302,75,959,659
0_metal_4335.jpg,300,168,complete,74,6,239,167
0_metal_4346.jpg,259,194,complete,61,0,225,180
0_metal_4715.jpg,259,194,complete,45,18,212,186
1_metal_2713.jpg,852,480,incomplete,185,14,716,479
1_wood_5056.jpg,512,341,incomplete,80,53,354,278
1_concrete_2337.jpg,1920,1080,incomplete,580,0,1541,1053
1_wood_4725.jpg,1920,1200,incomplete,423,0,1503,1092
0_factory_1075.jpg,2448,2448,complete,387,106,2214,2134
1_metal_3185.jpg,512,287,incomplete,79,36,324,286
1_factory_1238.jpg,4032,3024,incomplete,733,0,3403,3024
0_concrete_2664.jpg,183,275,complete,0,41,183,274
1_metal_3232.jpg,3000,2000,incomplete,286,0,2132,1822
0_factory_874.jpg,4032,3024,complete,880,281,3538,2868
0_wood_6774.jpg,284,177,complete,67,14,236,176
1_wood_4578.jpg,512,341,incomplete,102,22,379,294
0_factory_1098.jpg,2448,2448,complete,463,36,1932,2447
1_factory_673.jpg,2448,3264,incomplete,13,0,2447,3197
1_metal_3830.jpg,284,177,incomplete,51,1,228,162
0_factory_1769.jpg,3264,2448,complete,618,247,2649,2092
0_concrete_3304.jpg,300,168,complete,80,11,201,166
0_concrete_2431.jpg,3008,3008,complete,162,0,2893,3008
0_metal_4426.jpg,238,212,complete,35,30,211,174
0_metal_5152.jpg,300,168,complete,52,0,190,145
1_factory_24.jpg,3264,2448,incomplete,829,361,2724,2275
0_concrete_3033.jpg,273,184,complete,98,4,213,163
1_factory_239.jpg,3024,4032,incomplete,0,0,3024,3936
1_concrete_2127.jpg,300,168,incomplete,92,1,217,167
1_factory_317.jpg,2448,2448,incomplete,357,0,2446,2448
1_factory_887.jpg,3264,2448,incomplete,803,321,2403,2099
1_concrete_1997.jpg,1680,1050,incomplete,440,115,1368,1049
0_concrete_2159.jpg,300,168,complete,87,5,227,149
1_factory_430.jpg,2448,2448,incomplete,0,11,2136,2252
1_concrete_2048.jpg,300,168,incomplete,85,0,230,152
0_concrete_2924.jpg,1998,1375,complete,523,31,1566,1159
0_wood_7447.jpg,626,417,complete,149,0,519,367
0_metal_4937.jpg,300,168,complete,97,25,251,166
1_factory_599.jpg,2448,2448,incomplete,324,120,2190,2219
0_concrete_2340.jpg,1680,1050,complete,476,91,1254,1001
1_metal_3516.jpg,276,183,incomplete,57,5,213,161
0_wood_5833.jpg,284,177,complete,48,0,205,171
0_concrete_2968.jpg,284,177,complete,92,7,198,143
0_factory_175.jpg,4032,3024,complete,1235,394,3169,2520
1_factory_926.jpg,4032,3024,incomplete,824,34,3252,3023
1_factory_157.jpg,3024,4032,incomplete,0,260,3024,4031
0_factory_847.jpg,2448,2448,complete,276,323,2198,2376
1_factory_108.jpg,2448,2448,incomplete,476,0,2250,2448
0_concrete_2045.jpg,1680,1050,complete,567,0,1395,963
0_factory_1653.jpg,2448,2448,complete,79,119,1976,2052
0_wood_7087.jpg,1920,1147,complete,530,38,1200,1093
0_factory_795.jpg,2448,2448,complete,0,47,2202,2107
1_metal_2770.jpg,1062,751,incomplete,137,0,959,644
0_wood_5728.jpg,275,183,complete,78,19,214,159
1_concrete_2708.jpg,1680,1050,incomplete,351,0,1204,969
0_metal_4060.jpg,512,288,complete,172,5,355,242
1_wood_4894.jpg,275,183,incomplete,67,11,190,182
1_concrete_2145.jpg,259,194,incomplete,38,0,179,156
1_wood_4473.jpg,300,168,incomplete,79,0,217,168
0_concrete_3341.jpg,2880,1800,complete,543,131,1826,1525
0_metal_4187.jpg,300,168,complete,66,13,197,151
0_wood_5697.jpg,275,183,complete,77,0,193,152
0_factory_1656.jpg,4032,3024,complete,1031,370,3371,2460
1_concrete_2408.jpg,1680,1050,incomplete,299,72,1286,928
1_concrete_2301.jpg,1246,765,incomplete,157,56,846,727
1_metal_2989.jpg,284,177,incomplete,66,26,192,176
1_metal_4120.jpg,512,320,incomplete,101,0,346,289
0_metal_5142.jpg,1024,822,complete,187,44,697,663
1_metal_3775.jpg,300,168,incomplete,96,37,219,162
0_metal_4820.jpg,300,168,complete,50,0,195,160
0_wood_5776.jpg,300,168,complete,76,13,182,139
0_concrete_2147.jpg,300,168,complete,61,0,177,167
1_factory_1090.jpg,2448,2448,incomplete,0,152,2448,2447
1_wood_5008.jpg,626,417,incomplete,94,0,506,399
0_concrete_2420.jpg,1920,1080,complete,284,0,1322,1080
1_metal_3537.jpg,284,177,incomplete,68,19,215,154
0_metal_4750.jpg,284,177,complete,93,26,225,154
0_concrete_2164.jpg,290,174,complete,83,0,206,173
0_wood_6667.jpg,2560,1600,complete,868,37,1882,1314
0_factory_44.jpg,2448,2448,complete,411,174,1843,2059
0_concrete_3508.jpg,225,225,complete,69,41,196,181
1_wood_4209.jpg,1920,1200,incomplete,503,76,1421,1046
1_metal_3241.jpg,1920,1080,incomplete,569,0,1421,1080
1_factory_664.jpg,2448,2448,incomplete,316,0,2089,2211
1_concrete_1454.jpg,1246,765,incomplete,253,46,840,732
1_concrete_1667.jpg,300,168,incomplete,59,8,222,136
0_concrete_3047.jpg,262,192,complete,71,0,223,151
0_wood_5767.jpg,300,168,complete,93,24,222,149
0_metal_4099.jpg,852,480,complete,190,47,649,451
0_wood_6896.jpg,512,341,complete,110,0,358,296
0_metal_4979.jpg,1920,1200,complete,328,90,1131,1031
0_wood_6720.jpg,300,168,complete,110,0,235,151
0_concrete_2023.jpg,300,168,complete,74,4,231,167
1_wood_4744.jpg,3006,1727,incomplete,589,78,1947,1540
0_concrete_2727.jpg,512,342,complete,67,0,424,298
